GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shared-data-reader,com.kodcu.sdr.verticle,CompressObject,14,0,0,0,5,0,3,0,3,0
shared-data-reader,com.kodcu.sdr.verticle,ReaderFile,241,0,10,0,62,0,13,0,8,0
shared-data-reader,com.kodcu.sdr.verticle,ReaderVerticle,21,238,2,2,9,40,3,7,1,7
shared-data-reader,com.kodcu.sdr.verticle,ReaderFileInfini,73,0,6,0,20,0,9,0,6,0
shared-data-reader,com.kodcu.main,Starter,196,0,10,0,41,0,12,0,7,0
