GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-sharing,com.kodcu.main,Starter,29,0,2,0,9,0,5,0,4,0
data-sharing,com.kodcu.lds.verticle,SharingVerticle,0,61,0,0,0,15,0,3,0,3
data-sharing,com.kodcu.lds.verticle,ReaderVerticle,0,43,0,0,0,12,0,3,0,3
data-sharing,com.kodcu.lds.verticle,LocalDataSharingAndReaderLauncher,4,26,1,1,1,8,1,3,0,3
