GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shared-data-reader,com.kodcu.sdr.verticle,ReaderFile,296,0,14,0,68,0,15,0,8,0
shared-data-reader,com.kodcu.sdr.verticle,ReaderVerticle,21,238,2,2,9,40,3,7,1,7
shared-data-reader,com.kodcu.sdr.verticle,ReaderFileInfini,70,0,4,0,19,0,8,0,6,0
shared-data-reader,com.kodcu.main,Starter,117,0,6,0,25,0,8,0,5,0
