GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
helloWorld,com.kodcu.hw.verticle,HelloWorldVerticle,9,44,1,1,2,10,1,5,0,5
helloWorld,com.kodcu.main,Starter,29,0,2,0,9,0,5,0,4,0
