GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
workerVerticle,com.kodcu.main,Starter,38,0,2,0,11,0,5,0,4,0
workerVerticle,com.kodcu.wv.verticle,WorkerVerticle,5,60,0,0,2,14,0,4,0,4
